subID,gems,bomb,pGems,chose80,chose60,chose40,chose20,it,lr,sticky
19750274,44,36,0.523333333333333,0.216666666666667,0.347222222222222,0.272222222222222,0.163888888888889,4.46553817991577,0.0033016690143968,-0.123325462638661
20576075,31,44,0.442777777777778,0.0916666666666667,0.280555555555556,0.377777777777778,0.25,9.40933837366892,0.0138542479924164,0.182669494331921
21187470,40,59,0.440555555555556,0.2,0.161111111111111,0.280555555555556,0.358333333333333,3.29506861489492,0.869896100114609,1.23655424499671
21411993,43,65,0.431666666666667,0.194444444444444,0.183333333333333,0.208333333333333,0.413888888888889,13.0367532408389,0.46290080394391,0.654772372288184
21414377,56,39,0.552777777777778,0.330555555555556,0.311111111111111,0.15,0.208333333333333,6.17836984946096,0.404113430052276,2.19492930763229
21775766,55,46,0.501666666666667,0.236111111111111,0.283333333333333,0.233333333333333,0.247222222222222,6.70650489338548,0.549322578369096,1.85817176078542
21843962,49,46,0.532222222222222,0.277777777777778,0.280555555555556,0.266666666666667,0.175,5.98586707377679,0.138096857988207,1.43088292264716
23545498,42,50,0.450555555555556,0.0611111111111111,0.425,0.219444444444444,0.294444444444444,9.0476027754858,0.00629218347867903,0.293192439180149
23860796,53,54,0.508888888888889,0.252777777777778,0.272222222222222,0.241666666666667,0.233333333333333,6.40119769061413,0.69947010194567,2.02235655704156
23903876,46,59,0.529444444444444,0.211111111111111,0.363888888888889,0.286111111111111,0.138888888888889,6.2405992755335,0.284401745342288,1.40704145741691
24102402,57,60,0.533888888888889,0.283333333333333,0.308333333333333,0.202777777777778,0.205555555555556,6.33507007220695,0.601189043862128,2.54718771661503
25309911,45,67,0.462777777777778,0.222222222222222,0.197222222222222,0.252777777777778,0.327777777777778,8.61999702601589,0.644396784120192,1.66195626706
28218986,50,63,0.427777777777778,0.141666666666667,0.125,0.463888888888889,0.269444444444444,5.21471030432664,0.487385879810682,1.60423082562955
28664074,39,52,0.487777777777778,0.197222222222222,0.252777777777778,0.341666666666667,0.208333333333333,3.13913122754635,0.0443883291031945,0.259344379242898
28693455,47,42,0.508888888888889,0.261111111111111,0.247222222222222,0.266666666666667,0.225,12.1619941075928,0.680837504476111,1.72158204441337
28777482,58,37,0.573333333333333,0.416666666666667,0.236111111111111,0.144444444444444,0.202777777777778,13.0719215196571,0.00947884930791814,-0.389812598156208
29096264,64,40,0.508888888888889,0.269444444444444,0.225,0.286111111111111,0.219444444444444,5.58793650041293,0.677787518178825,0.879788473494584
29616486,47,59,0.457222222222222,0.208333333333333,0.216666666666667,0.227777777777778,0.347222222222222,8.04198806953468,0.418478163861608,1.41946815001974
30587969,39,50,0.492777777777778,0.244444444444444,0.202777777777778,0.325,0.227777777777778,3.57970113863861,0.462368080660771,2.30382327138645
31711383,60,36,0.535,0.269444444444444,0.247222222222222,0.372222222222222,0.111111111111111,5.50070712323855,0.511837407267722,1.32742847007759
