subID,gems,bomb,igbias,pGems,chose80,chose60,chose40,chose20,it,lr_pos,lr_neg,sticky,rt_mean,rt_tot
20757599,105,90,4.16666666666667,0.557777777777778,0.344444444444444,0.213888888888889,0.327777777777778,0.113888888888889,4.35077596698374,0.61917783499137,0.530277197621965,1.72718247667727,541.658333333333,541.658333333333
22761075,104,112,1.33333333333333,0.510555555555556,0.261111111111111,0.272222222222222,0.225,0.241666666666667,3.01950185426284,0.0273847109175803,0.00102345925729786,-1.93640579884222,488.852777777778,488.852777777778
22919166,90,105,1,0.541666666666667,0.305555555555556,0.269444444444444,0.252777777777778,0.172222222222222,1.7460692789296,0.866942503822646,0.992656733787138,0.916260292532086,201.458333333333,201.458333333333
23282311,109,98,1,0.526666666666667,0.236111111111111,0.313888888888889,0.297222222222222,0.152777777777778,9.53037969601328,0.543484029350408,0.844403948255938,1.3572920549597,649.169444444444,649.169444444444
23579773,101,92,-0.5,0.531666666666667,0.263888888888889,0.325,0.216666666666667,0.194444444444444,4.44380249105199,0.0143601256907574,0.161510480875672,-0.0887808184468991,214.702777777778,214.702777777778
24039086,93,95,-0.833333333333333,0.515555555555556,0.252777777777778,0.308333333333333,0.202777777777778,0.236111111111111,3.17930510069984,0.169676285392773,0.457681415768833,1.94555269402031,1473.00833333333,1473.00833333333
25578725,117,80,3.16666666666667,0.586111111111111,0.405555555555556,0.275,0.163888888888889,0.155555555555556,3.93144150546985,0.699979663516335,0.847541114611198,1.53386270967691,401.191666666667,401.191666666667
25614918,114,96,0,0.557777777777778,0.408333333333333,0.2,0.163888888888889,0.227777777777778,6.34000975158575,0.671467430168065,0.837166860270459,2.45175213986003,301.397222222222,301.397222222222
25740675,92,84,1.5,0.535,0.311111111111111,0.269444444444444,0.202777777777778,0.216666666666667,6.49069436390586,0.814053718657391,0.88902731940221,1.91390998200143,302.152777777778,302.152777777778
25837211,82,104,0.666666666666667,0.473333333333333,0.211111111111111,0.255555555555556,0.222222222222222,0.311111111111111,8.86776287870582,0.402795021211015,0.604526861119396,0.832809395758448,181.127777777778,181.127777777778
26051038,134,84,1,0.628333333333333,0.533333333333333,0.188888888888889,0.163888888888889,0.113888888888889,10.182447286918,0.400883848552573,0.565096488714161,1.76050188453187,678.786111111111,678.786111111111
26196737,110,137,2,0.451111111111111,0.216666666666667,0.166666666666667,0.272222222222222,0.344444444444444,5.39166857028829,0.375397388120041,0.609915920938181,0.712171457924155,3470.12777777778,3470.12777777778
26408861,128,93,3.5,0.55,0.422222222222222,0.180555555555556,0.122222222222222,0.275,1.64702237797344,0.507376627920952,0.514940125659056,1.6069751311603,315.247222222222,315.247222222222
26620314,98,113,3,0.496111111111111,0.211111111111111,0.280555555555556,0.286111111111111,0.222222222222222,6.91745521041552,0.468254618604015,0.983401512719804,-0.0672672805413144,283.952777777778,283.952777777778
26938811,114,136,0,0.462777777777778,0.197222222222222,0.216666666666667,0.288888888888889,0.297222222222222,6.61222382949081,0.273959310021431,0.657800666681633,-0.192397913988745,422.616666666667,422.616666666667
27033756,119,118,6,0.492777777777778,0.197222222222222,0.355555555555556,0.161111111111111,0.286111111111111,10.24086319117,0.428421579565195,0.857806901538812,1.33816145932905,302.305555555556,302.305555555556
27258699,118,125,6,0.487222222222222,0.127777777777778,0.394444444444444,0.263888888888889,0.213888888888889,6.2426785962136,0.306124448750982,0.536426418602475,2.1650604373561,1072.64722222222,1072.64722222222
27517993,122,85,6,0.576111111111111,0.425,0.222222222222222,0.161111111111111,0.191666666666667,2.01444412549957,0.842154174456254,0.857299874933185,0.921914904284857,290.144444444444,290.144444444444
29294253,114,97,0,0.521111111111111,0.280555555555556,0.263888888888889,0.236111111111111,0.219444444444444,6.3249000879809,0.867688764233375,0.87382760832948,2.00527535868623,167.625,167.625
29368201,114,124,5.66666666666667,0.501111111111111,0.269444444444444,0.283333333333333,0.130555555555556,0.316666666666667,7.79319401095933,0.0623078646909404,0.312012169460204,2.12434637023484,227.102777777778,227.102777777778
30117339,118,118,6,0.516666666666667,0.188888888888889,0.386111111111111,0.244444444444444,0.180555555555556,3.78092661558445,0.530875568339722,0.711469208214851,1.88118942652627,445.575,445.575
30123147,106,100,3.5,0.490555555555556,0.286111111111111,0.166666666666667,0.261111111111111,0.286111111111111,4.86584718248305,0.00455986462571733,0.000619142204730273,2.17562587677562,537.102777777778,537.102777777778
32076979,108,77,6,0.536111111111111,0.305555555555556,0.286111111111111,0.191666666666667,0.216666666666667,3.75341346576415,0.525948046879619,0.515853233438184,1.2565760336476,357.527777777778,357.527777777778
